 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   $I10_OUTPUT                                       0x75afd923       0x0001d923      59 (0x3b)        msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   ___lc_codepage_func                               0x75af0653       0x00010653      127 (0x7f)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   ___lc_collate_cp_func                             0x75b45b31       0x00065b31      128 (0x80)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   ___lc_handle_func                                 0x75b0601a       0x0002601a      129 (0x81)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   ___mb_cur_max_func                                0x75b45aff       0x00065aff      130 (0x82)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   ___setlc_active_func                              0x75b45b60       0x00065b60      131 (0x83)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   ___unguarded_readlc_active_add_func               0x75b45b6b       0x00065b6b      132 (0x84)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __argc                                            0x75b830e4       0x000a30e4      133 (0x85)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __argv                                            0x75b830c0       0x000a30c0      134 (0x86)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __badioinfo                                       0x75b83210       0x000a3210      135 (0x87)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CppXcptFilter                                   0x75b45ada       0x00065ada      109 (0x6d)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __crtCompareStringA                               0x75afcd59       0x0001cd59      136 (0x88)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __crtCompareStringW                               0x75b077c9       0x000277c9      137 (0x89)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __crtGetLocaleInfoW                               0x75b45b76       0x00065b76      138 (0x8a)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __crtGetStringTypeW                               0x75b0fb46       0x0002fb46      139 (0x8b)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __crtLCMapStringA                                 0x75af16ac       0x000116ac      140 (0x8c)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __crtLCMapStringW                                 0x75b05737       0x00025737      141 (0x8d)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxCallUnwindDelDtor                            0x75b35de6       0x00055de6      110 (0x6e)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxCallUnwindDtor                               0x75b35daf       0x00055daf      111 (0x6f)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxCallUnwindVecDtor                            0x75b35e1e       0x00055e1e      112 (0x70)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __CxxDetectRethrow                                0x75b35c8a       0x00055c8a      113 (0x71)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxExceptionFilter                              0x75b35f77       0x00055f77      114 (0x72)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxFrameHandler                                 0x75b03495       0x00023495      115 (0x73)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxFrameHandler2                                0x75b03495       0x00023495      116 (0x74)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __CxxFrameHandler3                                0x75b03495       0x00023495      117 (0x75)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function
   __CxxLongjmpUnwind                                0x75b362bb       0x000562bb      118 (0x76)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __CxxQueryExceptionSize                           0x75b35da6       0x00055da6      119 (0x77)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __CxxRegisterExceptionObject                      0x75b35bda       0x00055bda      120 (0x78)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __CxxUnregisterExceptionObject                    0x75b35ce0       0x00055ce0      121 (0x79)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __daylight                                        0x75b6201e       0x0008201e      142 (0x8e)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __DestructExceptionObject                         0x75b037fd       0x000237fd      122 (0x7a)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __dllonexit                                       0x75aef509       0x0000f509      143 (0x8f)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __doserrno                                        0x75af04a8       0x000104a8      144 (0x90)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __dstbias                                         0x75b62029       0x00082029      145 (0x91)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __fpecode                                         0x75b45cdf       0x00065cdf      146 (0x92)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __getmainargs                                     0x75af2bc0       0x00012bc0      147 (0x93)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __initenv                                         0x75b804e8       0x000a04e8      148 (0x94)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

