 Function Name                                 Address         Relative Address Ordinal          Filename            Full Path                                Type
   _hread                                      0x7dd8a00f      0x0002a00f       1334 (0x536)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function

   _hwrite                                     0x7ddefa9b      0x0008fa9b       1335 (0x537)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   _lclose                                     0x7dd8a06f      0x0002a06f       1336 (0x538)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   _lcreat                                     0x7ddefa67      0x0008fa67       1337 (0x539)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   _llseek                                     0x7dd8a03d      0x0002a03d       1338 (0x53a)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function

   _lopen                                      0x7ddefa14      0x0008fa14       1339 (0x53b)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   _lread                                      0x7dd8a00f      0x0002a00f       1340 (0x53c)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   _lwrite                                     0x7ddefa9b      0x0008fa9b       1341 (0x53d)     kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AcquireSRWLockExclusive                     0x7de294a4      0x000c94a4       3 (0x3)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function

   AcquireSRWLockShared                        0x7de294c5      0x000c94c5       4 (0x4)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   ActivateActCtx                              0x7dd8a0d7      0x0002a0d7       5 (0x5)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddAtomA                                    0x7dd8dbd0      0x0002dbd0       6 (0x6)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function

   AddAtomW                                    0x7dd89bae      0x00029bae       7 (0x7)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddConsoleAliasA                            0x7de1621a      0x000b621a       8 (0x8)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddConsoleAliasW                            0x7de161b0      0x000b61b0       9 (0x9)          kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddIntegrityLabelToBoundaryDescriptor       0x7ddf4b02      0x00094b02       10 (0xa)         kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function

   AddLocalAlternateComputerNameA              0x7dde7270      0x00087270       11 (0xb)         kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddLocalAlternateComputerNameW              0x7dde7185      0x00087185       12 (0xc)         kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddRefActCtx                                0x7dd8c7eb      0x0002c7eb       13 (0xd)         kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddSecureMemoryCacheCallback                0x7ddef22a      0x0008f22a       15 (0xf)         kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function

   AddSIDToBoundaryDescriptor                  0x7dd970f5      0x000370f5       14 (0xe)         kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddVectoredContinueHandler                  0x7de294e3      0x000c94e3       16 (0x10)        kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
   AddVectoredExceptionHandler                 0x7de29507      0x000c9507       17 (0x11)        kernel32.dll        C:\Windows\system32\kernel32.dll         Exported Function
