 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   CtfImmAppCompatEnableIMEonProtectedCode           0x7d9353ec       0x000253ec      1 (0x1)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   CtfImmCoUninitialize                              0x7d923081       0x00013081      2 (0x2)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmDispatchDefImeMessage                       0x7d921611       0x00011611      3 (0x3)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmEnterCoInitCountSkipMode                    0x7d923ea2       0x00013ea2      4 (0x4)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmGenerateMessage                             0x7d92b41d       0x0001b41d      5 (0x5)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   CtfImmGetCompatibleKeyboardLayout                 0x7d9353dc       0x000253dc      6 (0x6)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmGetGuidAtom                                 0x7d9351a8       0x000251a8      7 (0x7)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmGetIMEFileName                              0x7d935412       0x00025412      8 (0x8)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmGetTMAEFlags                                0x7d92230d       0x0001230d      9 (0x9)          imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   CtfImmHideToolbarWnd                              0x7d93514b       0x0002514b      10 (0xa)         imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmIsCiceroEnabled                             0x7d9353a2       0x000253a2      11 (0xb)         imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmIsCiceroStartedInThread                     0x7d923a35       0x00013a35      12 (0xc)         imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   CtfImmIsGuidMapEnable                             0x7d935227       0x00025227      13 (0xd)         imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmIsTextFrameServiceDisabled                  0x7d923019       0x00013019      14 (0xe)         imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmLastEnabledWndDestroy                       0x7d9233ba       0x000133ba      15 (0xf)         imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmLeaveCoInitCountSkipMode                    0x7d923ebb       0x00013ebb      16 (0x10)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   CtfImmNotify                                      0x7d921346       0x00011346      17 (0x11)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmRestoreToolbarWnd                           0x7d935114       0x00025114      18 (0x12)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmSetAppCompatFlags                           0x7d923674       0x00013674      19 (0x13)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmSetCiceroStartInThread                      0x7d92214d       0x0001214d      20 (0x14)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   CtfImmSetDefaultRemoteKeyboardLayout              0x7d9353cc       0x000253cc      21 (0x15)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   CtfImmTIMActivate                                 0x7d921807       0x00011807      22 (0x16)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   GetKeyboardLayoutCP                               0x7d92b123       0x0001b123      23 (0x17)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmActivateLayout                                 0x7d928df5       0x00018df5      24 (0x18)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmAssociateContext                               0x7d923691       0x00013691      25 (0x19)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmAssociateContextEx                             0x7d92608f       0x0001608f      26 (0x1a)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmCallImeConsoleIME                              0x7d934326       0x00024326      27 (0x1b)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmConfigureIMEA                                  0x7d928f67       0x00018f67      28 (0x1c)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmConfigureIMEW                                  0x7d92913f       0x0001913f      29 (0x1d)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmCreateContext                                  0x7d923d4d       0x00013d4d      30 (0x1e)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmCreateIMCC                                     0x7d922821       0x00012821      31 (0x1f)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmCreateSoftKeyboard                             0x7d92ef46       0x0001ef46      32 (0x20)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmDestroyContext                                 0x7d923ccf       0x00013ccf      33 (0x21)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmDestroyIMCC                                    0x7d923066       0x00013066      34 (0x22)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmDestroySoftKeyboard                            0x7d92f0d6       0x0001f0d6      35 (0x23)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmDisableIME                                     0x7d92382e       0x0001382e      36 (0x24)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmDisableIme                                     0x7d92382e       0x0001382e      37 (0x25)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmDisableTextFrameService                        0x7d9353c2       0x000253c2      38 (0x26)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmEnumInputContext                               0x7d92320a       0x0001320a      39 (0x27)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmEnumRegisterWordA                              0x7d92bef9       0x0001bef9      40 (0x28)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmEnumRegisterWordW                              0x7d92c057       0x0001c057      41 (0x29)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmEscapeA                                        0x7d929327       0x00019327      42 (0x2a)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmEscapeW                                        0x7d9295a9       0x000195a9      43 (0x2b)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmFreeLayout                                     0x7d9297ef       0x000197ef      44 (0x2c)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGenerateMessage                                0x7d92b2a7       0x0001b2a7      45 (0x2d)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetAppCompatFlags                              0x7d922cea       0x00012cea      46 (0x2e)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCandidateListA                              0x7d928320       0x00018320      47 (0x2f)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCandidateListCountA                         0x7d9282ea       0x000182ea      48 (0x30)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCandidateListCountW                         0x7d928305       0x00018305      49 (0x31)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCandidateListW                              0x7d928341       0x00018341      50 (0x32)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCandidateWindow                             0x7d922e3c       0x00012e3c      51 (0x33)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCompositionFontA                            0x7d92682c       0x0001682c      52 (0x34)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

