 Function Name                          Address         Relative Address Ordinal          Filename            Full Path                                Type
   __isascii                            0x7decd872      0x0005d872       1854 (0x73e)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   __iscsym                             0x7df43b2c      0x000d3b2c       1855 (0x73f)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   __iscsymf                            0x7df43b64      0x000d3b64       1856 (0x740)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   __toascii                            0x7df43b1a      0x000d3b1a       1857 (0x741)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _alldiv                              0x7ded4f80      0x00064f80       1858 (0x742)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   _alldvrm                             0x7deebac0      0x0007bac0       1859 (0x743)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _allmul                              0x7deb2b20      0x00042b20       1860 (0x744)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _alloca_probe                        0x7deaacc8      0x0003acc8       1861 (0x745)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _alloca_probe_16                     0x7deebba0      0x0007bba0       1862 (0x746)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   _alloca_probe_8                      0x7deebbb6      0x0007bbb6       1863 (0x747)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _allrem                              0x7deebc00      0x0007bc00       1864 (0x748)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _allshl                              0x7dea2fc0      0x00032fc0       1865 (0x749)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   _allshr                              0x7dea8820      0x00038820       1866 (0x74a)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _atoi64                              0x7df43b9b      0x000d3b9b       1867 (0x74b)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _aulldiv                             0x7debfe40      0x0004fe40       1868 (0x74c)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _aulldvrm                            0x7de9f720      0x0002f720       1869 (0x74d)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   _aullrem                             0x7deb0920      0x00040920       1870 (0x74e)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _aullshr                             0x7dea86f0      0x000386f0       1871 (0x74f)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _chkstk                              0x7deaacc8      0x0003acc8       1872 (0x750)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _CIcos                               0x7deeb584      0x0007b584       1849 (0x739)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   _CIlog                               0x7deeb644      0x0007b644       1850 (0x73a)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _CIpow                               0x7deeb724      0x0007b724       1851 (0x73b)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _CIsin                               0x7deeb944      0x0007b944       1852 (0x73c)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _CIsqrt                              0x7deeba00      0x0007ba00       1853 (0x73d)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

   _fltused                             0x7df74328      0x00104328       1873 (0x751)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function
   _ftol                                0x7deebcc0      0x0007bcc0       1874 (0x752)     ntdll.dll           C:\Windows\System32\ntdll.dll            Exported Function

