 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   GetTapi16CallbackMsg                              0x41c84214       0x00004214      1 (0x1)          tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   internalConfig                                    0x41c9c8a9       0x0001c8a9      24 (0x18)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   internalCreateDefLocation                         0x41c9fd64       0x0001fd64      25 (0x19)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   internalNewLocationW                              0x41ca1e5b       0x00021e5b      26 (0x1a)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   internalPerformance                               0x41c8f146       0x0000f146      27 (0x1b)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   internalRemoveLocation                            0x41c9fdca       0x0001fdca      28 (0x1c)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   internalRenameLocationW                           0x41c9ef1f       0x0001ef1f      29 (0x1d)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   LAddrParamsInited                                 0x41c84c56       0x00004c56      2 (0x2)          tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineAccept                                        0x41c86e03       0x00006e03      30 (0x1e)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineAddProvider                                   0x41c90d9e       0x00010d9e      31 (0x1f)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineAddProviderA                                  0x41c90b58       0x00010b58      32 (0x20)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineAddProviderW                                  0x41c90c51       0x00010c51      33 (0x21)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineAddToConference                               0x41c86e78       0x00006e78      34 (0x22)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineAgentSpecific                                 0x41c86edd       0x00006edd      35 (0x23)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineAnswer                                        0x41c86fc4       0x00006fc4      36 (0x24)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineBlindTransfer                                 0x41c871de       0x000071de      37 (0x25)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineBlindTransferA                                0x41c870f3       0x000070f3      38 (0x26)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineBlindTransferW                                0x41c87039       0x00007039      39 (0x27)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineClose                                         0x41c871ee       0x000071ee      40 (0x28)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineCompleteCall                                  0x41c87276       0x00007276      41 (0x29)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineCompleteTransfer                              0x41c8734b       0x0000734b      42 (0x2a)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineConfigDialog                                  0x41c90ef7       0x00010ef7      43 (0x2b)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineConfigDialogA                                 0x41c90ea4       0x00010ea4      44 (0x2c)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineConfigDialogEdit                              0x41c910a8       0x000110a8      45 (0x2d)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineConfigDialogEditA                             0x41c9104c       0x0001104c      46 (0x2e)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function
   lineConfigDialogEditW                             0x41c90f04       0x00010f04      47 (0x2f)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineConfigDialogW                                 0x41c90dae       0x00010dae      48 (0x30)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineConfigProvider                                0x41c910b5       0x000110b5      49 (0x31)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineCreateAgentA                                  0x41c875a1       0x000075a1      50 (0x32)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineCreateAgentSessionA                           0x41c877d5       0x000077d5      51 (0x33)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineCreateAgentSessionW                           0x41c8768d       0x0000768d      52 (0x34)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineCreateAgentW                                  0x41c8742a       0x0000742a      53 (0x35)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDeallocateCall                                0x41c87875       0x00007875      54 (0x36)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDevSpecific                                   0x41c8793e       0x0000793e      55 (0x37)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDevSpecificFeature                            0x41c87a3f       0x00007a3f      56 (0x38)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDial                                          0x41c87cb2       0x00007cb2      57 (0x39)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDialA                                         0x41c87be2       0x00007be2      58 (0x3a)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDialW                                         0x41c87b38       0x00007b38      59 (0x3b)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineDrop                                          0x41c87cc2       0x00007cc2      60 (0x3c)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineForward                                       0x41c87f70       0x00007f70      61 (0x3d)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineForwardA                                      0x41c87e51       0x00007e51      62 (0x3e)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineForwardW                                      0x41c87d37       0x00007d37      63 (0x3f)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGatherDigits                                  0x41c8825a       0x0000825a      64 (0x40)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGatherDigitsA                                 0x41c880d6       0x000080d6      65 (0x41)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGatherDigitsW                                 0x41c87f80       0x00007f80      66 (0x42)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGenerateDigits                                0x41c883ad       0x000083ad      67 (0x43)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGenerateDigitsA                               0x41c882ed       0x000082ed      68 (0x44)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGenerateDigitsW                               0x41c8826a       0x0000826a      69 (0x45)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGenerateTone                                  0x41c883bd       0x000083bd      70 (0x46)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressCaps                                0x41c885ff       0x000085ff      71 (0x47)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressCapsA                               0x41c884ee       0x000084ee      72 (0x48)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressCapsW                               0x41c8845b       0x0000845b      73 (0x49)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressID                                  0x41c88760       0x00008760      74 (0x4a)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressIDA                                 0x41c88688       0x00008688      75 (0x4b)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

