 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   __WSAFDIsSet                                      0x3fd136e7       0x000036e7      151 (0x97)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   accept                                            0x3fd136fb       0x000036fb      1 (0x1)          wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   AcceptEx                                          0x3fd13382       0x00003382      1141 (0x475)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   bind                                              0x3fd13709       0x00003709      2 (0x2)          wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   closesocket                                       0x3fd13715       0x00003715      3 (0x3)          wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   connect                                           0x3fd13728       0x00003728      4 (0x4)          wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   dn_expand                                         0x3fd13737       0x00003737      1106 (0x452)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   EnumProtocolsA                                    0x3fd13393       0x00003393      1111 (0x457)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   EnumProtocolsW                                    0x3fd133aa       0x000033aa      1112 (0x458)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   GetAcceptExSockaddrs                              0x3fd133c1       0x000033c1      1142 (0x476)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   GetAddressByNameA                                 0x3fd133de       0x000033de      1109 (0x455)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   GetAddressByNameW                                 0x3fd133f8       0x000033f8      1110 (0x456)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   gethostbyaddr                                     0x3fd13749       0x00003749      51 (0x33)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   gethostbyname                                     0x3fd1375e       0x0000375e      52 (0x34)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   gethostname                                       0x3fd13773       0x00003773      57 (0x39)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   GetNameByTypeA                                    0x3fd13412       0x00003412      1115 (0x45b)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   GetNameByTypeW                                    0x3fd13429       0x00003429      1116 (0x45c)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   getnetbyname                                      0x3fd13786       0x00003786      1101 (0x44d)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   getpeername                                       0x3fd1379b       0x0000379b      5 (0x5)          wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   getprotobyname                                    0x3fd137ae       0x000037ae      53 (0x35)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   getprotobynumber                                  0x3fd137c4       0x000037c4      54 (0x36)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   getservbyname                                     0x3fd137dc       0x000037dc      55 (0x37)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   getservbyport                                     0x3fd137f1       0x000037f1      56 (0x38)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
